epoch,eval_acc,eval_loss,step,test_acc,train_acc,train_loss,valid_acc
0.0,-1.0,0.45500001311302185,3,-1.0,-1.0,0.6140000224113464,0.9399999976158142
1.0,-1.0,0.33399999141693115,7,-1.0,-1.0,0.527999997138977,0.8899999856948853
2.0,-1.0,0.3319999873638153,11,-1.0,-1.0,0.27300000190734863,0.9100000262260437
3.0,-1.0,0.34299999475479126,15,-1.0,-1.0,0.18700000643730164,0.9300000071525574
4.0,-1.0,0.37299999594688416,19,-1.0,-1.0,0.28999999165534973,0.9300000071525574
5.0,-1.0,0.4690000116825104,23,-1.0,-1.0,0.07100000232458115,0.9200000166893005
6.0,-1.0,0.48100000619888306,27,-1.0,-1.0,0.12600000202655792,0.8999999761581421
7.0,-1.0,0.5540000200271606,31,-1.0,-1.0,0.04399999976158142,0.9100000262260437
8.0,-1.0,0.7250000238418579,35,-1.0,-1.0,0.023000000044703484,0.9100000262260437
9.0,-1.0,0.781000018119812,39,-1.0,-1.0,0.0430000014603138,0.8999999761581421
10.0,-1.0,0.8519999980926514,43,-1.0,-1.0,0.12200000137090683,0.8999999761581421
11.0,-1.0,1.1139999628067017,47,-1.0,-1.0,0.017000000923871994,0.8999999761581421
12.0,-1.0,1.5210000276565552,51,-1.0,-1.0,0.061000000685453415,0.8799999952316284
13.0,-1.0,1.531000018119812,55,-1.0,-1.0,0.035999998450279236,0.8799999952316284
14.0,-1.0,1.281999945640564,59,-1.0,-1.0,0.02199999988079071,0.8999999761581421
15.0,-1.0,0.9570000171661377,63,-1.0,-1.0,0.014000000432133675,0.9100000262260437
16.0,-1.0,0.8600000143051147,67,-1.0,-1.0,0.12399999797344208,0.9100000262260437
17.0,-1.0,1.121999979019165,71,-1.0,-1.0,0.012000000104308128,0.9300000071525574
